repeat,cpuset,mode,cores,block_bytes,input,wall_seconds,input_bytes,output_bytes,calls,mbps,thread_cpu_seconds,process_cpu_seconds,cpu_cores_used,output_ratio,depth,validation,fallback,phase,dataset,compression_factor,space_saved_pct,payload_output_ratio,cpu_seconds_per_gb
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sync,32,65536,/tmp/accflow-lz4-final/inputs/text,2.000485,8524791808,171523838,130078,4261.362,63.969034,63.969551,31.977016,0.020120589671062148,8,PASS,0,scaling,text,49.70033266163272,97.98794103289379,0.019937484202312148,7.503942904502191
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",async,32,65536,/tmp/accflow-lz4-final/inputs/text,2.003070,8465154048,165251647,129168,4226.089,64.012351,64.01305,31.957465,0.019521398673074685,8,PASS,0,scaling,text,51.225837694676656,98.04786013269253,0.019338293204324685,7.561947442069752
2,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62",sw,32,65536,/tmp/accflow-lz4-final/inputs/text,2.000009,625003200512,3080383816,9536792,312500.19,63.955541,63.956208,31.97796,0.0049285888671875,8,PASS,0,scaling,text,202.89783281733747,99.50714111328125,0.0049285888671875,0.10232940878959874
3,0,sync,1,65536,/root/hch/silesia/dickens,2.000023,855410202,500381514,13092,427.7,1.998525,1.998571,0.999274,0.5849608910790147,8,PASS,0,scaling,dickens,1.7095159954290398,41.50391089209853,0.5847772318245043,2.3363890158513683
3,0,async,1,65536,/root/hch/silesia/dickens,2.000125,1043823796,610583209,15976,521.879,1.997714,1.997764,0.99882,0.584948543365072,8,PASS,0,scaling,dickens,1.7095520817048868,41.505145663492804,0.5847648801829002,1.913890071921679
3,0,sw,1,65536,/root/hch/silesia/dickens,2.000014,572808592,362348746,8767,286.402,1.99811,1.998148,0.999067,0.6325825957582704,8,PASS,0,scaling,dickens,1.580821234579352,36.74174042417297,0.6325825957582704,3.4883345464901825
3,"0,2",sync,2,65536,/root/hch/silesia/dickens,2.000106,1702431796,995843323,26056,851.171,3.997381,3.997459,1.998623,0.584953432695403,8,PASS,0,scaling,dickens,1.709537792422393,41.5046567304597,0.5847697707121536,2.348087605854373
3,"0,2",async,2,65536,/root/hch/silesia/dickens,2.000923,2074602732,1213538705,31752,1036.823,3.996169,3.996225,1.99719,0.5849499213905403,8,PASS,0,scaling,dickens,1.7095480543407966,41.50500786094597,0.5847662602036909,1.9262603573974277
3,"0,2",sw,2,65536,/root/hch/silesia/dickens,2.000109,1142699234,722845676,17489,571.319,3.996565,3.996621,1.998202,0.6325773698733398,8,PASS,0,scaling,dickens,1.5808342941516054,36.74226301266602,0.6325773698733398,3.4975266291287284
3,"0,2,4,6",sw,4,65536,/root/hch/silesia/dickens,2.000206,2291168832,1449345306,35067,1145.466,7.995407,7.995492,3.997334,0.6325790076040979,8,PASS,0,scaling,dickens,1.5808302014123334,36.74209923959021,0.6325790076040979,3.489700055416955
