phase,dataset,block_bytes,cores,mode,samples,mbps,mbps_min,mbps_max,output_ratio,output_ratio_min,output_ratio_max,compression_factor,compression_factor_min,compression_factor_max,space_saved_pct,space_saved_pct_min,space_saved_pct_max,payload_output_ratio,payload_output_ratio_min,payload_output_ratio_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max,cpu_cores_used,cpu_cores_used_min,cpu_cores_used_max
scaling,text,65536,32,async,3,4226.089,4217.083,4226.374,0.019521398673074685,0.01945467372078236,0.019563554785336546,51.225837694676656,51.115454781741875,51.4015302621989,98.04786013269253,98.04364452146635,98.05453262792176,0.019338293204324685,0.01927156825203236,0.019380449316586546,7.561947442069752,7.560963998655396,7.57757049348435,31.955461,31.955242,31.957465
crossing,dickens,65536,10,sync,3,4186.502,4182.163,4187.028,0.5849529018428395,0.5849520821075842,0.5849537509414148,1.70953934385075,1.7095368623427352,1.7095417395506942,41.50470981571605,41.50462490585852,41.50479178924158,0.5847692388341517,0.5847684185179388,0.5847700879981725,2.38696647138085,2.3866239513784513,2.3890780794319606,9.992862,9.991513,9.993039
crossing,dickens,65536,10,sw,3,2865.6,2865.445,2866.619,0.6325749040679133,0.6325743041761028,0.6325763343663332,1.5808404563147829,1.5808368819262324,1.5808419554797617,36.74250959320867,36.74236656336668,36.74256958238972,0.6325749040679133,0.6325743041761028,0.6325763343663332,3.4871405359779497,3.4858509874556303,3.487228291338636,9.992608,9.992461,9.992749
crossing,dickens,65536,10,async,3,4251.539,4249.699,4252.066,0.5849456724989346,0.5849444227660723,0.5849475745933277,1.70956047204849,1.7095549130111851,1.709564124521817,41.50543275010654,41.50524254066723,41.50555772339277,0.5847620102413317,0.5847607605770831,0.5847639120611006,2.3486737146862127,2.348647535047933,2.350351211952975,9.986603,9.985477,9.988285
crossing,dickens,65536,12,sync,3,4251.622,4246.727,4253.382,0.584938099966866,0.5849375240904691,0.5849399687963979,1.7095826037945645,1.7095771418349999,1.7095842868944333,41.50619000331341,41.50600312036021,41.506247590953095,0.5847544387895997,0.584753862261487,0.5847563078417365,2.8204494526572645,2.8190148461523847,2.8235644539579683,11.990908,11.990348,11.991485
crossing,dickens,65536,12,sw,3,3438.492,3438.376,3440.119,0.6325766602434229,0.6325745669700694,0.6325771098637332,1.58083606754506,1.5808349439255167,1.580841298741806,36.742333975657715,36.74228901362668,36.742543302993056,0.6325766602434229,0.6325745669700694,0.6325771098637332,3.487376958657492,3.485758382487863,3.4875303051913265,11.991425,11.991319,11.991439
crossing,dickens,65536,12,async,3,4245.204,4245.121,4249.367,0.5849418813363823,0.584940719751055,0.584942638001543,1.7095715521606334,1.7095693407074937,1.7095749470571822,41.505811866361775,41.5057361998457,41.5059280248945,0.5847582196704723,0.5847570586337383,0.5847589763356331,2.8231426664396304,2.8206310220752373,2.8231963356437566,11.985045,11.984583,11.985895
crossing,dickens,65536,14,sync,3,4255.873,4255.04,4258.143,0.5849328608017949,0.584932505748339,0.5849329632576649,1.7095979162963306,1.7095976168460465,1.7095989540205845,41.50671391982051,41.50670367423351,41.5067494251661,0.5847492015299738,0.5847488467705475,0.5847493038792343,3.2871014407195993,3.2854310171650893,3.2873701041281893,13.989487,13.98789,13.989836
crossing,dickens,65536,14,async,3,4246.706,4246.435,4247.272,0.5849382443217661,0.5849380604569963,0.5849383632524582,1.7095821818925458,1.7095818342973037,1.7095827192689892,41.50617556782339,41.506163674754184,41.50619395430037,0.5847545842771636,0.5847544003439779,0.5847547032078557,3.2923235274076648,3.2915834750004915,3.2927907499079403,13.981529,13.98025,13.982623
crossing,dickens,65536,14,sw,3,4013.587,4012.646,4013.776,0.6325744394069311,0.6325736270049512,0.6325764007434656,1.580841617529706,1.5808367160467929,1.5808436477737837,36.742556059306885,36.742359925653446,36.74263729950488,0.6325744394069311,0.6325736270049512,0.6325764007434656,3.4854911671058724,3.485388062848502,3.4864227180344907,13.989566,13.989321,13.98978
crossing,dickens,65536,15,async,3,4243.332,4241.148,4243.39,0.5849375609240917,0.5849373900861465,0.5849377705137098,1.7095841792416058,1.7095835666788455,1.7095846785460664,41.506243907590836,41.50622294862902,41.506260991385346,0.5847539028574747,0.5847537316525723,0.5847541119777288,3.530801231931622,3.5298177226470124,3.5317114803482488,14.978511,14.978394,14.982363
crossing,dickens,65536,15,sync,3,4255.047,4253.173,4255.326,0.5849331030771671,0.5849330194639295,0.5849333611281822,1.7095972081923279,1.7095964539811233,1.7095974525706632,41.506689692283295,41.50666388718178,41.50669805360705,0.5847494436987365,0.5847493598508133,0.5847497017881357,3.522569454203228,3.522524300259378,3.5245780338518453,14.989681,14.988508,14.990642
crossing,dickens,65536,15,sw,3,4299.791,4298.67,4300.393,0.6325739043126891,0.6325731818568915,0.6325757317531437,1.5808429547635714,1.580838387885294,1.580844760229232,36.74260956873109,36.74242682468562,36.74268181431085,0.6325739043126891,0.6325731818568915,0.6325757317531437,3.4858103645309395,3.485507488687562,3.486951890014944,14.989051,14.988254,14.989256
